date,material,demand,month,week,monsoon_flag,outage_count,maintenance_flag
2023-01-01,Transformer,23,1,52,0,4,1
2023-01-08,Transformer,30,1,1,0,3,0
2023-01-15,Transformer,27,1,2,0,1,0
2023-01-22,Transformer,22,1,3,0,1,1
2023-01-29,Transformer,27,1,4,0,2,0
2023-02-05,Transformer,23,2,5,0,0,0
2023-02-12,Transformer,39,2,6,0,1,0
2023-02-19,Transformer,28,2,7,0,0,1
2023-02-26,Transformer,35,2,8,0,1,1
2023-03-05,Transformer,32,3,9,0,2,0
2023-03-12,Transformer,40,3,10,0,2,0
2023-03-19,Transformer,34,3,11,0,3,0
2023-03-26,Transformer,32,3,12,0,1,0
2023-04-02,Transformer,33,4,13,0,1,0
2023-04-09,Transformer,38,4,14,0,0,1
2023-04-16,Transformer,40,4,15,0,2,0
2023-04-23,Transformer,45,4,16,0,3,0
2023-04-30,Transformer,31,4,17,0,3,0
2023-05-07,Transformer,25,5,18,0,0,0
2023-05-14,Transformer,28,5,19,0,1,0
2023-05-21,Transformer,31,5,20,0,1,0
2023-05-28,Transformer,25,5,21,0,0,0
2023-06-04,Transformer,52,6,22,1,4,0
2023-06-11,Transformer,48,6,23,1,2,0
2023-06-18,Transformer,45,6,24,1,2,0
2023-06-25,Transformer,38,6,25,1,2,0
2023-07-02,Transformer,35,7,26,1,1,0
2023-07-09,Transformer,50,7,27,1,4,0
2023-07-16,Transformer,42,7,28,1,3,1
2023-07-23,Transformer,37,7,29,1,2,1
2023-07-30,Transformer,36,7,30,1,1,0
2023-08-06,Transformer,43,8,31,1,3,1
2023-08-13,Transformer,34,8,32,1,2,0
2023-08-20,Transformer,42,8,33,1,2,0
2023-08-27,Transformer,25,8,34,1,2,1
2023-09-03,Transformer,35,9,35,1,1,0
2023-09-10,Transformer,39,9,36,1,3,0
2023-09-17,Transformer,21,9,37,1,0,0
2023-09-24,Transformer,36,9,38,1,4,1
2023-10-01,Transformer,8,10,39,0,1,0
2023-10-08,Transformer,17,10,40,0,4,0
2023-10-15,Transformer,17,10,41,0,3,1
2023-10-22,Transformer,13,10,42,0,1,0
2023-10-29,Transformer,29,10,43,0,6,0
2023-11-05,Transformer,27,11,44,0,5,0
2023-11-12,Transformer,24,11,45,0,2,0
2023-11-19,Transformer,21,11,46,0,1,0
2023-11-26,Transformer,9,11,47,0,2,1
2023-12-03,Transformer,17,12,48,0,1,0
2023-12-10,Transformer,24,12,49,0,3,0
2023-12-17,Transformer,19,12,50,0,1,0
2023-12-24,Transformer,13,12,51,0,0,1
2021-01-03,Cable,108,1,53,0,2,1
2021-01-10,Cable,103,1,1,0,1,0
2021-01-17,Cable,115,1,2,0,2,1
2021-01-24,Cable,96,1,3,0,2,0
2021-01-31,Cable,108,1,4,0,3,0
2021-02-07,Cable,114,2,5,0,0,0
2021-02-14,Cable,116,2,6,0,2,0
2021-02-21,Cable,102,2,7,0,0,0
2021-02-28,Cable,113,2,8,0,2,0
2021-03-07,Cable,122,3,9,0,5,0
2021-03-14,Cable,114,3,10,0,1,0
2021-03-21,Cable,112,3,11,0,3,0
2021-03-28,Cable,122,3,12,0,2,0
2021-04-04,Cable,102,4,13,0,1,1
2021-04-11,Cable,118,4,14,0,1,1
2021-04-18,Cable,116,4,15,0,2,0
2021-04-25,Cable,109,4,16,0,2,0
2021-05-02,Cable,112,5,17,0,1,1
2021-05-09,Cable,110,5,18,0,0,0
2021-05-16,Cable,105,5,19,0,2,0
2021-05-23,Cable,118,5,20,0,1,1
2021-05-30,Cable,117,5,21,0,1,1
2021-06-06,Cable,128,6,22,1,2,0
2021-06-13,Cable,115,6,23,1,0,0
2021-06-20,Cable,127,6,24,1,1,0
2021-06-27,Cable,118,6,25,1,2,0
2021-07-04,Cable,121,7,26,1,3,0
2021-07-11,Cable,120,7,27,1,2,1
2021-07-18,Cable,112,7,28,1,0,0
2021-07-25,Cable,126,7,29,1,2,1
2021-08-01,Cable,113,8,30,1,3,0
2021-08-08,Cable,123,8,31,1,5,1
2021-08-15,Cable,115,8,32,1,1,0
2021-08-22,Cable,108,8,33,1,0,0
2021-08-29,Cable,116,8,34,1,4,1
2021-09-05,Cable,114,9,35,1,1,0
2021-09-12,Cable,103,9,36,1,1,0
2021-09-19,Cable,115,9,37,1,1,0
2021-09-26,Cable,107,9,38,1,3,1
2021-10-03,Cable,93,10,39,0,0,1
2021-10-10,Cable,94,10,40,0,0,1
2021-10-17,Cable,103,10,41,0,4,0
2021-10-24,Cable,104,10,42,0,5,1
2021-10-31,Cable,93,10,43,0,1,0
2021-11-07,Cable,95,11,44,0,1,0
2021-11-14,Cable,100,11,45,0,2,1
2021-11-21,Cable,108,11,46,0,1,0
2021-11-28,Cable,97,11,47,0,2,1
2021-12-05,Cable,101,12,48,0,3,0
2021-12-12,Cable,100,12,49,0,2,1
2021-12-19,Cable,105,12,50,0,4,1
2021-12-26,Cable,107,12,51,0,2,0
2022-01-02,Cable,103,1,52,0,2,1
2022-01-09,Cable,117,1,1,0,6,0
2022-01-16,Cable,101,1,2,0,1,1
2022-01-23,Cable,110,1,3,0,2,1
2022-01-30,Cable,117,1,4,0,3,0
2022-02-06,Cable,124,2,5,0,3,1
2022-02-13,Cable,123,2,6,0,6,0
2022-02-20,Cable,106,2,7,0,1,1
2022-02-27,Cable,115,2,8,0,2,0
2022-03-06,Cable,115,3,9,0,2,0
2022-03-13,Cable,115,3,10,0,1,1
2022-03-20,Cable,119,3,11,0,3,1
2022-03-27,Cable,111,3,12,0,1,0
2022-04-03,Cable,117,4,13,0,2,0
2022-04-10,Cable,121,4,14,0,4,1
2022-04-17,Cable,109,4,15,0,3,1
2022-04-24,Cable,110,4,16,0,2,1
2022-05-01,Cable,112,5,17,0,0,0
2022-05-08,Cable,117,5,18,0,3,0
2022-05-15,Cable,117,5,19,0,2,1
2022-05-22,Cable,113,5,20,0,2,0
2022-05-29,Cable,117,5,21,0,4,1
2022-06-05,Cable,136,6,22,1,5,0
2022-06-12,Cable,128,6,23,1,2,0
2022-06-19,Cable,124,6,24,1,2,0
2022-06-26,Cable,119,6,25,1,2,0
2022-07-03,Cable,113,7,26,1,0,0
2022-07-10,Cable,108,7,27,1,2,1
2022-07-17,Cable,114,7,28,1,1,0
2022-07-24,Cable,115,7,29,1,2,0
2022-07-31,Cable,112,7,30,1,2,0
2022-08-07,Cable,113,8,31,1,1,0
2022-08-14,Cable,116,8,32,1,1,0
2022-08-21,Cable,114,8,33,1,1,0
2022-08-28,Cable,113,8,34,1,2,1
2022-09-04,Cable,115,9,35,1,4,1
2022-09-11,Cable,112,9,36,1,0,1
2022-09-18,Cable,115,9,37,1,3,0
2022-09-25,Cable,100,9,38,1,0,0
2022-10-02,Cable,99,10,39,0,4,0
2022-10-09,Cable,98,10,40,0,3,0
2022-10-16,Cable,94,10,41,0,4,0
2022-10-23,Cable,86,10,42,0,1,1
2022-10-30,Cable,113,10,43,0,4,0
2022-11-06,Cable,105,11,44,0,2,0
2022-11-13,Cable,96,11,45,0,0,1
2022-11-20,Cable,101,11,46,0,2,1
2022-11-27,Cable,96,11,47,0,1,1
2022-12-04,Cable,100,12,48,0,2,0
2022-12-11,Cable,100,12,49,0,3,1
2022-12-18,Cable,90,12,50,0,0,1
2022-12-25,Cable,97,12,51,0,0,0
2023-01-01,Cable,117,1,52,0,3,0
2023-01-08,Cable,108,1,1,0,1,0
2023-01-15,Cable,116,1,2,0,5,1
2023-01-22,Cable,106,1,3,0,1,0
2023-01-29,Cable,111,1,4,0,1,0
2023-02-05,Cable,111,2,5,0,2,0
2023-02-12,Cable,117,2,6,0,2,1
2023-02-19,Cable,115,2,7,0,2,0
2023-02-26,Cable,107,2,8,0,1,0
2023-03-05,Cable,118,3,9,0,2,0
2023-03-12,Cable,115,3,10,0,2,0
2023-03-19,Cable,129,3,11,0,3,1
2023-03-26,Cable,124,3,12,0,2,0
2023-04-02,Cable,104,4,13,0,0,0
2023-04-09,Cable,118,4,14,0,1,1
2023-04-16,Cable,120,4,15,0,4,0
2023-04-23,Cable,123,4,16,0,5,0
2023-04-30,Cable,112,4,17,0,1,0
2023-05-07,Cable,108,5,18,0,2,0
2023-05-14,Cable,104,5,19,0,0,0
2023-05-21,Cable,103,5,20,0,3,1
2023-05-28,Cable,117,5,21,0,0,0
2023-06-04,Cable,133,6,22,1,2,0
2023-06-11,Cable,130,6,23,1,3,0
2023-06-18,Cable,116,6,24,1,0,0
2023-06-25,Cable,121,6,25,1,1,1
2023-07-02,Cable,114,7,26,1,1,0
2023-07-09,Cable,115,7,27,1,2,0
2023-07-16,Cable,118,7,28,1,2,0
2023-07-23,Cable,114,7,29,1,1,0
2023-07-30,Cable,120,7,30,1,1,0
2023-08-06,Cable,112,8,31,1,1,0
2023-08-13,Cable,113,8,32,1,4,0
2023-08-20,Cable,125,8,33,1,3,1
2023-08-27,Cable,114,8,34,1,2,0
2023-09-03,Cable,108,9,35,1,2,1
2023-09-10,Cable,118,9,36,1,2,0
2023-09-17,Cable,116,9,37,1,1,0
2023-09-24,Cable,107,9,38,1,3,0
2023-10-01,Cable,89,10,39,0,3,0
2023-10-08,Cable,93,10,40,0,2,0
2023-10-15,Cable,88,10,41,0,1,0
2023-10-22,Cable,95,10,42,0,1,1
2023-10-29,Cable,92,10,43,0,3,0
2023-11-05,Cable,110,11,44,0,5,0
2023-11-12,Cable,96,11,45,0,1,0
2023-11-19,Cable,93,11,46,0,1,0
2023-11-26,Cable,109,11,47,0,3,0
2023-12-03,Cable,116,12,48,0,3,1
2023-12-10,Cable,98,12,49,0,0,1
2023-12-17,Cable,101,12,50,0,0,1
2023-12-24,Cable,104,12,51,0,0,0
2021-01-03,Insulator,65,1,53,0,1,0
2021-01-10,Insulator,68,1,1,0,1,0
2021-01-17,Insulator,75,1,2,0,5,0
2021-01-24,Insulator,84,1,3,0,5,0
2021-01-31,Insulator,68,1,4,0,1,0
2021-02-07,Insulator,70,2,5,0,1,1
2021-02-14,Insulator,73,2,6,0,4,0
2021-02-21,Insulator,69,2,7,0,1,0
2021-02-28,Insulator,71,2,8,0,0,1
2021-03-07,Insulator,72,3,9,0,1,0
2021-03-14,Insulator,75,3,10,0,1,0
2021-03-21,Insulator,66,3,11,0,1,0
2021-03-28,Insulator,77,3,12,0,2,1
2021-04-04,Insulator,74,4,13,0,2,0
2021-04-11,Insulator,73,4,14,0,1,0
2021-04-18,Insulator,78,4,15,0,4,0
2021-04-25,Insulator,66,4,16,0,1,1
2021-05-02,Insulator,74,5,17,0,2,1
2021-05-09,Insulator,69,5,18,0,1,0
2021-05-16,Insulator,73,5,19,0,2,0
2021-05-23,Insulator,70,5,20,0,1,0
2021-05-30,Insulator,69,5,21,0,0,0
2021-06-06,Insulator,83,6,22,1,2,0
2021-06-13,Insulator,80,6,23,1,2,0
2021-06-20,Insulator,84,6,24,1,5,0
2021-06-27,Insulator,77,6,25,1,1,1
2021-07-04,Insulator,87,7,26,1,4,0
2021-07-11,Insulator,73,7,27,1,1,0
2021-07-18,Insulator,74,7,28,1,1,0
2021-07-25,Insulator,72,7,29,1,0,0
2021-08-01,Insulator,83,8,30,1,3,0
2021-08-08,Insulator,78,8,31,1,1,0
2021-08-15,Insulator,79,8,32,1,2,0
2021-08-22,Insulator,70,8,33,1,2,0
2021-08-29,Insulator,76,8,34,1,4,1
2021-09-05,Insulator,89,9,35,1,6,0
2021-09-12,Insulator,82,9,36,1,2,0
2021-09-19,Insulator,66,9,37,1,2,0
2021-09-26,Insulator,78,9,38,1,3,1
2021-10-03,Insulator,61,10,39,0,5,0
2021-10-10,Insulator,58,10,40,0,2,0
2021-10-17,Insulator,53,10,41,0,2,1
2021-10-24,Insulator,69,10,42,0,3,0
2021-10-31,Insulator,63,10,43,0,3,0
2021-11-07,Insulator,51,11,44,0,0,0
2021-11-14,Insulator,54,11,45,0,2,1
2021-11-21,Insulator,58,11,46,0,1,0
2021-11-28,Insulator,62,11,47,0,0,1
2021-12-05,Insulator,48,12,48,0,0,1
2021-12-12,Insulator,54,12,49,0,1,1
2021-12-19,Insulator,58,12,50,0,3,1
2021-12-26,Insulator,72,12,51,0,2,0
2022-01-02,Insulator,77,1,52,0,2,0
2022-01-09,Insulator,60,1,1,0,0,0
2022-01-16,Insulator,75,1,2,0,3,1
2022-01-23,Insulator,64,1,3,0,1,0
2022-01-30,Insulator,74,1,4,0,4,0
2022-02-06,Insulator,64,2,5,0,1,0
2022-02-13,Insulator,80,2,6,0,5,0
2022-02-20,Insulator,75,2,7,0,2,0
2022-02-27,Insulator,72,2,8,0,1,0
2022-03-06,Insulator,66,3,9,0,2,0
2022-03-13,Insulator,73,3,10,0,3,0
2022-03-20,Insulator,69,3,11,0,0,1
2022-03-27,Insulator,74,3,12,0,3,0
2022-04-03,Insulator,81,4,13,0,3,0
2022-04-10,Insulator,72,4,14,0,1,0
2022-04-17,Insulator,78,4,15,0,2,1
2022-04-24,Insulator,57,4,16,0,0,0
2022-05-01,Insulator,79,5,17,0,2,0
2022-05-08,Insulator,82,5,18,0,3,0
2022-05-15,Insulator,72,5,19,0,3,0
2022-05-22,Insulator,73,5,20,0,3,0
2022-05-29,Insulator,69,5,21,0,2,0
2022-06-05,Insulator,78,6,22,1,0,1
2022-06-12,Insulator,85,6,23,1,2,0
2022-06-19,Insulator,83,6,24,1,1,1
2022-06-26,Insulator,87,6,25,1,2,0
2022-07-03,Insulator,74,7,26,1,0,0
2022-07-10,Insulator,81,7,27,1,0,1
2022-07-17,Insulator,81,7,28,1,1,0
2022-07-24,Insulator,71,7,29,1,1,1
2022-07-31,Insulator,79,7,30,1,3,1
2022-08-07,Insulator,75,8,31,1,3,0
2022-08-14,Insulator,85,8,32,1,4,0
2022-08-21,Insulator,73,8,33,1,3,1
2022-08-28,Insulator,67,8,34,1,1,0
2022-09-04,Insulator,83,9,35,1,4,0
2022-09-11,Insulator,82,9,36,1,2,0
2022-09-18,Insulator,60,9,37,1,0,1
2022-09-25,Insulator,74,9,38,1,5,0
2022-10-02,Insulator,49,10,39,0,0,0
2022-10-09,Insulator,61,10,40,0,3,1
2022-10-16,Insulator,58,10,41,0,3,0
2022-10-23,Insulator,54,10,42,0,2,0
2022-10-30,Insulator,59,10,43,0,1,1
2022-11-06,Insulator,50,11,44,0,0,0
2022-11-13,Insulator,60,11,45,0,4,1
2022-11-20,Insulator,68,11,46,0,3,0
2022-11-27,Insulator,49,11,47,0,0,0
2022-12-04,Insulator,65,12,48,0,3,0
2022-12-11,Insulator,69,12,49,0,1,0
2022-12-18,Insulator,64,12,50,0,4,1
2022-12-25,Insulator,72,12,51,0,3,0
2023-01-01,Insulator,68,1,52,0,3,1
2023-01-08,Insulator,56,1,1,0,0,1
2023-01-15,Insulator,75,1,2,0,3,1
2023-01-22,Insulator,67,1,3,0,0,1
2023-01-29,Insulator,75,1,4,0,3,1
2023-02-05,Insulator,65,2,5,0,1,0
2023-02-12,Insulator,71,2,6,0,0,0
2023-02-19,Insulator,62,2,7,0,1,1
2023-02-26,Insulator,70,2,8,0,0,1
2023-03-05,Insulator,79,3,9,0,2,0
2023-03-12,Insulator,72,3,10,0,2,0
2023-03-19,Insulator,76,3,11,0,2,0
2023-03-26,Insulator,82,3,12,0,5,0
2023-04-02,Insulator,73,4,13,0,4,0
2023-04-09,Insulator,75,4,14,0,2,0
2023-04-16,Insulator,77,4,15,0,4,0
2023-04-23,Insulator,70,4,16,0,1,0
2023-04-30,Insulator,58,4,17,0,0,0
2023-05-07,Insulator,76,5,18,0,2,0
2023-05-14,Insulator,64,5,19,0,1,0
2023-05-21,Insulator,65,5,20,0,0,0
2023-05-28,Insulator,71,5,21,0,3,1
2023-06-04,Insulator,81,6,22,1,1,0
2023-06-11,Insulator,90,6,23,1,5,0
2023-06-18,Insulator,87,6,24,1,2,1
2023-06-25,Insulator,96,6,25,1,4,0
2023-07-02,Insulator,76,7,26,1,0,0
2023-07-09,Insulator,74,7,27,1,1,0
2023-07-16,Insulator,78,7,28,1,2,0
2023-07-23,Insulator,72,7,29,1,0,0
2023-07-30,Insulator,86,7,30,1,4,0
2023-08-06,Insulator,79,8,31,1,3,1
2023-08-13,Insulator,60,8,32,1,0,0
2023-08-20,Insulator,70,8,33,1,2,0
2023-08-27,Insulator,73,8,34,1,3,1
2023-09-03,Insulator,81,9,35,1,2,1
2023-09-10,Insulator,71,9,36,1,5,0
2023-09-17,Insulator,80,9,37,1,3,0
2023-09-24,Insulator,63,9,38,1,1,1
2023-10-01,Insulator,48,10,39,0,0,0
2023-10-08,Insulator,62,10,40,0,2,0
2023-10-15,Insulator,50,10,41,0,2,1
2023-10-22,Insulator,57,10,42,0,2,0
2023-10-29,Insulator,55,10,43,0,2,0
2023-11-05,Insulator,53,11,44,0,1,0
2023-11-12,Insulator,67,11,45,0,2,1
2023-11-19,Insulator,61,11,46,0,5,1
2023-11-26,Insulator,53,11,47,0,2,0
2023-12-03,Insulator,61,12,48,0,4,0
2023-12-10,Insulator,61,12,49,0,3,0
2023-12-17,Insulator,68,12,50,0,3,1
2023-12-24,Insulator,69,12,51,0,2,0
